title,date,content
K’uba’ab áantaj yéetel yanchaj kaambal xook ti’al ko’olelo’ob taak u mu’uk’ankúunsik meyaj ku beetiko’ob ,03/01/2023,"Ti’al u mu’uk’ankúunsa’al yéetel u táakmuk’ta’al meyaj ku beetik ko’olel te’e péetlu’umo’, u mola’ayil Secretaría de las Mujeres (Semujeres) yéetel Instituto Yucateco de Emprendedores (IYEM) tu beeto’ob kaambal xooko’ob yéetel tu k’ubajo’ob áantajo’ob ti’al u béeytal u beetik máak ba’ax ku tukultiko’ob yéetel u meyajo’ob.
María Cristina Castillo Espinosa, máax jo’olbesik u mola’ayil Semujeres, tu ya’alaje’ yéetel múul meyaj ku beeta’ale’ táan u kaxtal u béeytal u meyaj ko’olel ti’ ba’ax u k’áat. “K-ojel yaan k’iine’, tumen mina’an taak’in wa náajale’ ko’olele’ ma’ tu béeytal u luk’ul tu’ux ku loobilta’al, le beetik kaambal xook ku beeta’ale’ jach k’a’anan ti’al u ye’esa’al ba’ax bejil unaj u ch’a’ako’ob ti’al u xíimbalkunsiko’ob u mola’ayil u meyajo’ob”, tu ya’alaj.
Leti’ xane’ tu ya’alaj Semujerese’ ts’o’ok u k’ubik 266 u p’éel áantaj ti’ ko’olel tu kaajilo’ob Progreso, Muna, Maní, Yaxcabá, Dzan, Tizimín, Chaksinkín,
Tunkás, Tahmek, Tinum, Sinanché, Oxkutzcab, Hoctún, Chankom, Tekom, Tixcacalcupul, Chikidzonot, Akil, Peto, Jo’, Saki’ Hunucmá yéetel Tixkokob.“To’one’ k-ilik bix u k’uchulo’ob yéetel jump’éel tuukul, ba’ale’ kéen ts’o’okok u ch’a’ako’ob le xooko’, ku kaxtiko’ob u nu’ukil ba’ax ts’o’okili’ u káajsjik u patjo’oltiko’ob; kéen ts’o’okoke’ ku su’utul jump’éel mola’ay wa kúuchil koonol”, tu tsikbaltaj.
Kaambal xook ku beeta’ale’ táaka’an ichil u nu’ukbesajil Programa de Transversalidad de la Perspectiva de Género, ku taal u beeta’al tumen Instituto Nacional de las Mujeres. 
Antonio González Blanco, máax jo’olbesik IYEM, tu ya’alaje’ ichil ba’ax e’esa’abe’ ti’ yaan u k’a’ananil u péek máak ti’al meyaj, u kaláanta’al u nu’uktal taak’in, koonol yéetel u je’ets’el bix kéen úuchuk le koonolo’. 
Ichil meyajo’ob ku beeta’al tumen ko’olelo’obe’ ti’ yaan u beeta’al janalo’ob, nook’o’ob, chuuyo’ob, meyak che’, u tséenta’al u yik’el kaab, u beeta’al wak’ k’áan, ts’aak, ichil uláak’ ba’alo’ob.
"
Yóok’lal u k’iimbesajilo’ob diciembree’ ku náakal tak 60 por siientoil u ta’il míis tu xamanil QRoo,03/01/2023,"Ichil u 20 yéetel 60 por siientoil ta’il míis ku yantal tu k’iinilo’ob diciembree’, tu xamanil Quintana Roo, ku jóok’ol te’e k’iimbesajo’obo’, beey a’alab tumen u áayuntamientoilo’ob Benito Juárez yéetel Solidaridad.
Tu méek’tankaajil Benito Juáreze’ ya’abchaj yóok’ol u 20 por siientoil, beey a’alab tumen u mola’ayil Solución Integral de Residuos Sólidos (Siresol) yéetel u mola’ayil Red Ambiental, máax ku máan u mol ba’ax ku jóok’sa’al tumen kajnáalo’ob. Tu winalil diciembree’, te’e kaajo’, ila’ab ya’abchaj ba’ax ku jóok’sa’al te’e najo’obo’, tumen sáansamal te’e winalo’ mola’ab mil 200 u tóoneladas u ta’il míis, ba’ale’ ti’ u jeel winalo’obe’ chéen mil tóoneladas suuk u mola’al. 
U jala’achil le kaajo’ tu k’a’ajsaje’ meyajo’ob ti’al u máan molbil u ta’il míis najo’obe’ táan u meyaj je’ex suuka’ane’, tu 43 u p’éel bejiloob ti’ ja’atskab k’iin yéetel u 43il áak’ab. Le beetike’, ku k’áatal ti’ u kajnáalilo’ob Cancúne’ ka u jóok’so’ob u ta’il míis tu súutukil unaj u beetiko’ob.
Beey túuno’, tu kaajil Solidaridade’, Benny Millán Parra, u meyajnáalil Servicios Públicos, tu tsolaje’ buul k’iin yéetel buul áak’ab ku máan molbil ba’ax ku jóok’sa’al tu’ux ku k’uchul máak xíimximbal yéetel tu’ux ku yúuchul koonol.  
“Ma’ táan kbin je’elel mix jump’éel k’iin”, tu ya’alaj. Te’e k’iino’ob je’elil yéetel k’iimbesaje’ ku ya’abtal 60 por siiento ba’ax ku jóok’sa’al te’e najo’obo’, le beetike’ yaan u ts’a’abal uláak’ 15 kamyono’ob meyaj.  
U meyajnáalil Servicios Públicose’ tu ya’alaje’ tak te’e p’is k’iinil máaniko’, ts’o’ok u ts’aatáanta’al 594 u p’éel k’áaxo’ob tu’ux ku pu’ulul jejeláas ba’alob, le je’ela’ ku chíikpajal ti’ le 8 mil 429.42 u tóoneladasil ta’il míis ts’o’ok u mo’olol.
"
Je’eb u joolnajil Vaticano ti’al u ts’ook u téen ila’al Benedicto XVI,03/01/2023,"U kimen wíinkilal jk’iine’ chikúunsa’ab tu kúuchil Basílica de San Pedro; u poole’ etskúunsa’ab yóok’ol ka’ap’éel ts’u’uts’ukil nook’, ka’alikile’ ya’abach máako’ob k’ucho’ob tak tu’ux yaan ti’al u ts’íibóoltiko’ob ka utsil xíimbalnak te’e túumben bejo’, máax tu péeksaj u yóol kaaj ka’aj tu jets’aj u p’atik u meyaj walkil lajunp’éel ja’abo’ob.
"
Óotelero’obe’ tu ya’ako’obe’ táan u chíikpajal talamo’ob úuchik u k’a’alal u bejil u bin máak Chichén Itzá,04/01/2023,"U bejil u k’uchul máak tak tu yúuchben kaajil Chichén Itzáe’ k’ala’ab tumen kolnáalo’ob, ajkoonolo’ob yéetel ajmeyaj k’abo’ob, le beetike’ táan u yantal talamo’ob ti’ u yuumil le otelo’obo’, beey úuchik u ya’alik máax jo’olbesik Asociación Mexicana de Hoteles en Yucatán (AMHY), Juan José Martín Pacheco.Chéen tu k’iinil lunes 2 ti’ enero máaniko’, yanchaj 40 u p’éel káanselasyoono’ob ti’ kúuchilo’ob k’ubéenta’an ti’al u kóojol máak wenel te’e baantao’, tu ya’alaj Martín Pacheco. 
Yóok’lal le je’ela’, tu k’áataj ti’ u jo’olpóopilo’ob Instituto Nacional de Antropología e Historia (INAH) ti’ u noj lu’umil México, yéetel ti’ le máaxo’ob u k’atmajo’ob le bejo’ ka béeyak u tsikbalta’al ba’al ti’al u yila’al ba’ax je’el u páajtal u beeta’al, tumen beyo’, ma’ tu beeta’al k’aas ti’ mix jump’éel meyaj.
Le lunes 2 ti’ enero máanika’, u kajnáalilo’ob Pisté, X-Calakoop yéetel San Felipee’ tiu k’alo’ob u bejil u yokol máak te’e kaajo’obo’, le beetik ma’ xan tu béeytal u k’uchul máak tak te’e úuchben kaajo’. 
Máaxo’ob táan u líik’sik u t’aano’obe’, táan u k’áatiko’ob ka tse’elek meyaj ti’ Marco Antonio Santos Ramírez, máax jo’olbesik Chichén Itzá, tumen táan u ya’aliko’obe’ ma’ táan u cha’abal u yokol koonol mix meyaj le maaya kaajo’obo’. 
“Jach yaj óol le ba’ax táan u yúuchula’, tumen ma’ táan u páajtal u yúuchul tsikbal yéetelo’obi’, tumen chéen ja’alil beey je’el u yantal mokt’aan”, tu ya’alaj Martín Pacheco.
Uláak’ ba’ax tu ya’alaje’, le ba’ax táan u yúuchula’, ku beetik u p’áatal k’asil le péetlu’uma’, tumen ya’abach máak xíimbaltik le úuchebn kaaja’, ba’ale’ walkila’ ma’ tu béeytal.
Beey túuno’, u mola’ayil INAHe’ tu ts’áaj k’ajóoltbile’ Chichén Itzáe’ láayli’ je’ek’a’ab ti’al u béeytal u meyaj je’el bix unaje’, yéetel ts’o’ok xan u ts’a’abal kex 50 u túul u meyajnáalilo’ob Guardia Nacional ti’al u kaláanta’al le kúuchilo’, beyxan máaxo’ob ku k’uchul xíimbalo’obi’ yéetel u ajmeyajilo’ob le mola’ayo’. 
"
"Ikil ma’ tu cha’abal u k’uchul máak te’e úuchben kaajo’, ya’abchaj máax xíimbaltik kúuchil yaan Tulum",04/01/2023,"Yóok’lal bej k’ala’an ti’al u béeytal u k’uchul máak tak Chichén Itzá, tu péetlu’umil Yucatáne’, u yúuchben kaajil Tulum, Quintana Rooe’ táan u bin utsil ti’, tumen te’e ka’ap’éel k’iino’ob ts’o’ok u máana’, chíikpaj u k’uchul uláak’ ajxíinximbalo’ob, le beetik xane’ táan u ya’abtal náajali’, beey a’alab tumen jejeláas máaxo’ob ku meyajo’ob ti’al u k’a’amal ajxíinximbalo’ob.
Le beetike’, Santiago Torres, juntúul jguía ku meyaj Tulume’, tu ya’alaj chíikpaj u ya’abtal máax ku k’uchul xíimbal te’elo’ tu winalil diciembre, le beetike’ u 100% máaxo’ob ku meyajo’obi’ yaan ba’al u beeto’ob.
Tu tsikbaltaje’, le lunes yéetel le martes máanika’, ila’ab u k’ujsa’al uláak’ ya’abach ajxíinximbalo’ob tak te’elo’.
Santiago Torres tu ya’alaj táan u yúuchul le je’ela’ tumen k’ala’an u bejil u k’uchul máak Chichén Itzá, tumen ajeensyase’ yanchaj u k’ujsik ajxíinximbalo’ob ti’ uláak’ kúuchilo’ob je’el bix Tulum. Uláak’ ba’ale’, u k’iinilo’ob tu’ux jach ma’alob yanik u k’uchul máak xíinximbale’ yaan u ts’o’okol tak le 5 ti’ enero ku taala’, kéen ts’o’okoke’ ku káajal u p’íittal máak, tak kéen k’uchuk tak tu 80%.
“Tu ja’atskabil k’iin (le martesa’) jach chowakchaj u fiilail u páa’ta’al u yokol máaki’, beyxan le lunes máanika’. Tene’ in k’áat in tukulte’ táan u yúuchul tumen yanchaj u yila’al tu’ux uláak’ je’el u biinsa’al máak xíinximbal; chochobkil úuchik u xíimbalta’al Tulum yéetel Ek Balam”, tu tsikbaltaj.
Beey túuno’, Jesús Pastranae’, máax ts’o’ok u chan máan k’iin káajak u konik nu’ukulo’ob te’e kúuchilo’, tu ya’alaje’ u kúuchilo’ob janale’ leti’e’ tu’ux yanchaj u ya’abil náajal, tumen k’uch ajmexikoilo’ob yéetel máako’ob táanxel tu’ux u kaajalo’ob.
Ku tukultike’ táan ka’ach u meyajo’ob chéen ichil u 70 yéetel u 80%, ba’ale’ te’e ka’ap’éel k’iino’oba’ béeychaj u koolo’ob yóok’ol u 90 por siientoil.
"
U jala’achil Brasile’ k’uch u xíimbalt u kimen wíinkilal Pelé,04/01/2023,"Lula Da Silvae’, láak’inta’ab tumen u yatan Janja, úuchik u k’uchul u chíimpolt máax k’aaba’inta’ab beey u Reyil futbol, tu kúuchil báaxal Vila Belmiro, tu’ux jach báaxalnaj aanimáas Edson Arantes do Nascimento. U wíinkilale’ mu’uk tu jo’oloj máansa’ak tu bejilo’ob u brasilil kaajil Santos. 
"
Tren Mayae’ yaan u xu’ulsik talamilo’ob yaan yéetel ajkoonolo’ob tu kúuchil Chichén Itzá: INAH,05/01/2023,"Tu jo’oloj k’ala’ak u bejil u k’uchul máak tu yúuchben kaajil Chichén Itzá tumen kajnáalo’ob naats’ yanik te’e baantao’, le miércoles 4 ti’ enero máanika’ t’aanaj máax jo’olbesik le kúuchilo’, Marco Antonio Santos Ramírez, ti’al u ya’alike’, talamilo’ob yaan walkila’ yéetel ajkoonolo’obe’ je’elili’ u xu’ulul kéen káajak u meyaj Tren Maya tumen yaan  u ts’a’abal jump’éel kúuchil ti’al u je’elel cha’an ajxíinximbalo’ob, ts’o’okole’ yaan xan u ts’a’abal tu’ux u yantal ajkoonolo’obi’.  Leti’e’ ku tukultike’, u noj ba’alile’, leti’ u no’ojankúunsa’al ba’al ti’al u béeytal u yutsil meyaj máak, ba’ale’ beyxan ti’al u kaláanta’an u ba’alumbáaj kaaj.Yáax ba’ax táan u beeta’ale’, leti’ u xoka’al jaytúul ajmeyajo’ob yaan. Ila’abe’ yaan 674 u p’éel u kúuchilo’ob koonol Chichén Itzá. Yaan u yila’al bix u nu’ukta’al ba’al ti’al ma’ u seen ya’abtalo’ob, tumen tak máaxo’ob ku k’uchul cha’an te’elo’ ku ya’aliko’obe’ mix tu páajtal u yilko’ob tu beel le úuchben kaajo’ tumen ya’abach kúuchilo’ob koonol ts’a’abani’.
Santos Ramíreze’ tu ya’alaje’ ku ts’áak u yóol ti’al u kaláantik le kúuchilo’, ba’ale’ ti’al u béeytale’ k’a’abéet u ts’a’abal u nu’ukil u meyaj máaxo’ob yaan te’elo’.
“Ma’ jump’éel ba’al túumbeni’, úuch yanak le talamila’”, tu ya’alaj, ts’o’okole’ tu k’a’ajsaj xane’, u a’almajt’aanil Ley Federal de Monumentos, ku jet’sike’ ma’ tu páajtal u máan máak u k’a’ayt u koonol ichil le úuhcben kaajo’ob, ba’ale’ “ma’ táan k-a’alik wa ma’ k’a’anan u meyaj máaki’, u ba’alile’ leti’ u yila’al tu’ux ku beeta’al”.Kex beyo’, leti’ ku ya’alike’ mantats’ ku kaxtik ka béeyak u tsikbal yéetel máaxo’ob ku meyajo’ob ichil le úuchbej kaajo’, ti’al beyo’ u ts’a’abal u nu’uk tuláakal ba’ale’, ts’o’okole’ kex yaan máak oka’an koonol yéetel mina’an u ju’unil u beetike’ ma’ tu páajtal u jóoksa’al wa ma’ tu ts’a’abal uláak’ tu’ux ti’al u meyaj.Walkila’, úuchik u k’a’alal le bejo’, táan u k’ata’al bej ti’al u k’uchul 6 mil máak sáansamal suuka’an u kóokol te’elo’, tumen ti’al lunese’ ku tukultike’ chéen 100 máako’ob ooko’obi’, martese’ 20 yéetel jo’oljeak miércolese’ kantúul, ts’o’okole’ le je’elo’ ku beetik xan u p’íitchajal náajal; beyxan tu ya’alaje’ tu ja’abil 2022e’ xoka’ab yanchaj 2.6 miyoonesil máak ook te’e úuchben kaajo’, ts’o’okole’ le je’elo’ tu píitmáansaj le jaytúul máak ook ma’ili’ yanak pak’be’en k’oja’an.Tu tsikbaltaje’, u káajal u meyaj Tren Mayae’ yaan u ts’áak u páajtalil u je’ebel u kúuchil Centro de Atención a Visitantes (Catvi) ti’al u yantal u kúuchil u k’a’aytik u koonol máak tu beel, ti’al ma’ u ch’u’ulul kéen k’áaxak cháak wa u tóoka’al kéen jach chokochajak k’iin.Kéen k’uchuk u k’iinile’, ajkoonolo’obe’ yaan u béeytal u jets’iko’ob wa u k’áato’ob máan te’elo’, tumen ti’ kun ts’áabil tu yúuchben kúuchil u jáayal péepen k’áak’ tu’ux bíin máanak le treeno’, ba’ale’ le je’elo’ yaan u yúuchul jach kéen ts’o’okok u beeta’al te’e ja’abil 2023a’.“Jach k’a’anan u ya’alale’ yaan uláak’ talamilo’ob, je’el bix u ko’onol drorgáa ichil le úuchben kaajo’ […] tak walkila’ ts’o’ok k-ojéeltik yaan ka’atúul máak ku koonolo’ob ka’ache’ ku yúuts’bentiko’ob droogáa”, tu tsikbaltaj.Uláak’ ba’al tu ya’alaje’, u meyaj INAHe’ leti’ u kaláantik xan maaya kaajo’ob: tsikbal jóok’sa’an tumen kin péech’óoltik bin kajnáalo’obe’ chéen tuus, mix jaaji’”; tu ya’alaje’ le je’elo’ ku ya’alal tumen kéen k’áatak ti’ máak ka luk’ul tu’ux yaan tumen ma’ uts u ti’ale’, ku k’uuxilo’ob, loe beetik ku ya’alal ba’al beyo’.“U ya’abil máaxo’ob ku meyajo’ob tin wéetele’, ku t’aniko’ob maaya, le beetik ba’ax ku ya’alale’ mix jaaji’”. Ti’al u ye’esik jaaj ba’ax ku ya’alike’, tu ya’alaj jayp’éel t’aano’ob ich náhuatl yéetel maaya.Ts’o’okole’, tu ya’alaje’ ma’ili’ yanak pak’be’en k’oja’ane’, u yúuchben kaajil Chichén Itzáe’ jach ya’ab u meyaj, tumen ku je’ebel láas 6 ja’atskab k’iin, ti’al u béeytal u cha’antal u píik’il, ts’o’okole’ ku je’ebel 8 tak 5 u taal u chíinil k’iin ti’al u xíimbalta’al chéen je’ex suukile’, yéetel kéen ts’o’okoke’ ku ch’a’antal u t’úubul k’iin ichil láas 5 tak las 7 áak’ab. Tu ts’ooke’, ichil láas 7 tak las 11 áak’abe’ ku cha’antal luus y sonidóo; “tuláakal le je’ela’ ku k’a’abéetkunsik u yuumil u kaláanta’al kúuchil, ajmeyajo’ob yéetel uláak’ ba’alo’ob”.  Ka’aj k’uch pak’be’en k’oja’ane’, úuchben kaaje’ béeychaj u chan ch’a’ak u yiik’. káaj tak u k’uchul ba’alche’obi’, kéejo’ob, báalamo’ob, ichil uláak’o’ob, le beetik ku tukultik k’a’anan u tso’olol ba’al te’elo’.“Ma kúulpach yano’ob ti’ kaaji’, mix xan ti’ éejidoi’ […] leti’obe’ ku ya’aliko’ob mix ba’al ku yantal u ti’alo’ob, ba’ale’ ma’ jaaji’, tumen yaan ba’al ku yantal u ti’alo’ob; ichil ba’ax jets’a’an Ley de Ingresos de la Federación, jun jaats ti’ le taak’in ku yokol kéen bo’ota’ak u yokol máaki’, ku p’a’atal ti’ le kaajo’”.
"
"U beeta’al u yantal utsil meyaj, je’el u béeytal ichil máaxo’ob ku meyajtiko’ob moadáa ",05/01/2023,"Jump’éel miyoon 18 mil u túul máak ku meyaj ti’ le je’ela’, kex ma’ jach utsil yanik ba’al u ti’ali’, ichilo’obe’ táaka’an modeloso’ob, je’el bix béeychaj u xo’okol ti’ le ka’a jaats ts’íibo’ob ts’o’ok kjóok’sik. Jump’éel ONGe’ táan u péektsiltik meyajo’ob ti’al u xu’ulsa’al le k’aasil ba’ax ku yúuchul te’e meyajo’ yéetel jun jaats áabogadoso’ob, jo’olbesa’an tumen juntúul xmáakiyiistáa, yéetel ku yáantaj ti’al ma’ u péech’óolta’al máak.
"
Áak’ab ma’ax,06/01/2023,"U sientifikoil k’aaba’e’ Potos flavus, k’ajóolta’an xan beey kinkajú, u peekil k’áaxperro de monte, cuchumbí, mico león, cuchicuchi wa huasa. U ch’i’ibale’ ti’ u ch’a’amaj ti’ prociónidos baatsil, tu’ux u láak’mukbáaj yéetel k’ulu’ beyxan chi’ik.  
Suuka’an u yila’al t’ k’áax, tu lu’umil Méxicoe’ ku yantal tu baantail Chiapas (naats’ Chajul, tu’ux yaan u xuul u k’áaxil Reserva de la Biosfera Montes Azules), je’el bix xan Guerrero, Oaxaca, Tabasco, Veracruz yéetel Yucatán. 
Ma’ tu yila’al Quintana Roo yéetel Kaanpech, kex tumen naats’ yaniko’ob, le beetke’ ma’ unaj u chu’ukulo’ob ti’al u biinsalo’ob táanxel tu’ux, tumen je’el u k’askúunta’al kuxtal tu’ux suuk u yantalo’ob. 
Chichan ba’alche’, ku p’isik ichil 40 tak 60 sentiimetróos, yéetel ku tséentikubáaj ti’ u ki’il uláak’ ba’alche’ob. Ku jaantik mejen ik’elo’ob, je’ob, yéetel muucho’ob, ba’ale’ beyxan ku jaantik u yich che’ob. Ku aaltalo’ob ichil 1.4 tak 4.6 kilos. Je’el u k’uchul kuxtal tak 25 ja’abo’ob. U wíinkilale’ mu’uk’a’an, yéetel kóom u yook, ts’o’okole’ piim u tso’otsel u pool yéetel babaykij. Wóolis u poolo’ob yéetel nuuktak u yicho’ob. U ni’e’ kóom yéetel u xikine mejentak. U neje’ chowak beyxan u yaak’. 
U bin u ch’éejelo’obe’ ku yúuchul tumen ku seen ch’a’akal che’ob yéetel ku k’askúunta’al k’áax. Beyxan ku jaanta’al tumen i’ yéetel báalamo’ob. 
"
"Jo’e’, kaaj tu’ux muuch’ul jejeláas miatsilo’obe’, ku k’iimbesik 481 ja’abo’ob yanak",06/01/2023,"Ts’o’ok u máan 481 ja’abo’ob yanak u noj kaajil Jo’, le beetike’, j-áarkitektóo yéetel jts’íib k’ajla’ay Raúl Enrique Rivero Canto, máax jo’olbesik u meyaj u siientifikoil múuch’kab Ciudades y Pueblos Históricos ti’alinta’an tumen Icomos Mexicanoe’, ku yilik te’e noj kaaja’ jejeláas miatsilo’ob yaan, ba’ale’ kex beyo’ yaan u muuk’il u yóol.  
Tu kaajl Jo’e’ xa’ak’an miatsilo’ob, “ba’ale’ yéeya’an ba’ax xa’ak’ta’ani’, jujump’íitil úuchik u bin kyéeyaj”, xa’ak’an maaya miatsil, sak wíinik yéetel áafrikana miatsil, je’el bix xan británica kaaj, tumen yanchaj piraatáas kóojo’ob te’e kaaja’.“Jo’ je’el bix yanika’, óoli’ beey jump’éel sáandwichone’, wa jump’éel éensalada, tu’ux xa’ak’ta’an jejeláas u yáalal wa  ba’ax, jejeláas ba’al táaka’ani’, ts’o’okole’ tuláakal u jaatsilo’ob kaaje’ k’a’anan”, tu ya’alaj.
Leti’e’ ku tukultike’, ka’ap’éel noj miatsilo’ob múuch’o’ob ti’al ka béeyak u yantal u kaajil Jo’ je’el bix k-k’ajóoltik bejla’o’, ba’ale’ kex beyo’, táaka’an xan uláak’ ts’o’ok u bin u k’uchla’ajali’, je’el bix: libanesa, coreana, ichil uláak’o’ob.
Beey túuno’, ku ya’alike’, ku káajal xan u yantal k’eexilo’ob ti’ bix u na’ata’al le kaaja’, tumen wíinike’ ku ti’alintik ba’ax yaani’ beyxan bix u máan k’iini’. “To’one’ maas uts k-ilik kwa’atal ti’ jump’éel kúuchil yaan u yóok’olil, ba’ale’ u tuukulile’, ka béeyak u múul yantal máak ich kaaj, tumen beey k-ilik u yúuchulo’, te’e k’íiwiko’, Plaza Grande, yéetel uláak’ paarkeso’ob”.
Tu ya’alaje’, Plaza Grandee’ u ch’a’amaj u moots ti’ u kaajil Jo’, ba’ale’ láayli’ chíika’an u núupul jejeláas miatsilo’obi’, tumen k’íiwiko’obe’ u chíikulal amerikanóo miatsil, tumen tu lu’umil Europae’ le k’íiwiko’obo’ ma’ jach je’ex le yano’ob Jo’i’.
Ku tukultike’, yaan jejeláas ba’alo’ob k’a’abéet u píitjo’oltik le kaaja’, je’el bix u p’áata’al mina’an ts’ono’oto’ob wa áak’alo’ob, je’el bix xan u seen tóop’ol k’oxol, tumen tak le je’elo’ ku tsa’aysik k’oja’anilo’ob; ba’ale’ u jach noj ba’ax k’a’abéet u píitjo’olta’ale’, leti’ u p’áatal máak jumpáayil ti’ le kaaja’.
U noj kaajil Jo’ yaan walkila’ ma’ táaka’an ka’ach ichil Nueva España, ts’o’okole’ ka’ache’ “ti’al tuláakal ba’ale’ beey peten u pakta’ale’, tumen chéen ti’ cheem ku béeytal u k’uchul máaki’”, le beetik kex beyo’, yóok’lal bix u nu’ukil u k’uchul máake’, béeychaj u yantal jejeláas miatsilo’ob kóoj te’elo’, le beetik xa’ak’pajo’obi’. 
Tu tsolaje’, k’iimbesaj ku beetike’ ts’o’ok xan u k’éexel, ba’ale’ je’el bixak ka beeta’ake’, k’a’anan ma’ u xu’ulul, tumen ma’ili’ yanak u noj kaajil Jo’e’, yaanili’ jump’éel kaaj tu’ux kuxa’an maaya wíiniki’, “ba’ale’ le ba’ax ku k’iimbesa’alo’ leti’ u noj kaajil Jo’ je’el bix le k-k’ajóoltmaj bejla’o’”.
“Kex k-ojel bix úuchik u máan k’ajla’aye’, najmal k-na’atike’ leti’ ba’ax ts’áak k-óol yéetel k-k’a’ajsik ba’al ti’al ma’ u ka’a beetchajal ba’ax ma’ unaji’, ti’al u béeytal kxíimbal”.
Rivero Cantoe’ ku ya’alike’ yaan jejeláas ba’alo’ob ucha’an tu k’ajla’ayil Jo’, k’a’anan ti’al le bix yanik bejla’o’, ichilo’obe’, leti’e’ ka’aj yanchajo’, tu ja’abil 1542, tumen k’éex ba’al ti’ bix yanik ka’acho’.
Beyxan yanchaj ba’al u yil Independencia yéetel Porfiriato, tumen leti’ ka’aj káaj u meyajta’al kij, ts’o’okole’ mu’uk’anchaj tak ka’aj yanchaj u náajalil ti’al kaaj, “tumen kéen yanak taak’ine’, yaan meyaj”.
Leti’e’ ku tukultike’, ka’ap’éel ba’al jach k’a’anan ti’al u kaajil Jo’: le ka’aj yanchaj ka’ap’éel noj tuukulo’obi’ yéetel ka’aj káaj u meyajta’al kij, tumen yéetel le je’elo’ ayik’alchaj le kaajo’.
"
